政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00400802	学校給食実施状況等調査	文部科学省	初等中等教育局健康教育・食育課	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00400803	学校給食栄養報告	文部科学省	初等中等教育局健康教育・食育課	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00401101	宗教統計調査	文化庁	宗務課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00401102	宗教法人が行う事業に関する調査	文化庁	宗務課	一般統計	不定期	-	-	-	-
00402101	体育・スポーツ施設現況調査	スポーツ庁	参事官（地域振興担当）付	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00402102	体力・運動能力調査	スポーツ庁	健康スポーツ課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450001	産業連関構造調査（医療業・社会福祉事業等投入調査）	厚生労働省	政策統括官付参事官付審査解析室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450011	人口動態調査	厚生労働省	政策統括官付参事官付人口動態・保健社会統計室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00450012	生命表	厚生労働省	政策統括官付参事官付人口動態・保健社会統計室	基幹統計	年、５年	?登録あり	〇	〇	?作成機関情報
00450013	人口動態統計特殊報告	厚生労働省	政策統括官付参事官付人口動態・保健社会統計室	加工統計	年、５年	?登録あり	〇	-	?作成機関情報
00450021	医療施設調査	厚生労働省	政策統括官付参事官付保健統計室	基幹統計	月、３年	?登録あり	〇	〇	?作成機関情報
00450022	患者調査	厚生労働省	政策統括官付参事官付保健統計室	基幹統計	３年	?登録あり	〇	〇	?作成機関情報
00450023	病院報告	厚生労働省	政策統括官付参事官付保健統計室	一般統計	月、年	?登録あり	〇	-	?作成機関情報
00450024	受療行動調査	厚生労働省	政策統括官付参事官付保健統計室	一般統計	３年	?登録あり	〇	-	?作成機関情報
00450025	地域保健・健康増進事業報告	厚生労働省	政策統括官付参事官付行政報告統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
